labels,text
"And not the good Amazon with one-day shipping.
The awful one with birds and snakes. You hate the sound of all those keys on his key chain. Four keys!
Who does he think he is, a warden? See? Maybe you'll love living alone. I don't know. Perhaps. And if it turns out you don't... - You and... Oh, sure. And while we're at it, why don't we get engaged, too? Why don't we get a little house, start a family? Enjoy our sunset years together? Do you hear yourself, woman?!",1
When are you going to stop making Cylon toast? When I have enough to destroy all the human toast on the Battlestar known as Galactica.,1
"Hi Joey. Hey! How you doin'? He has the most amazing Porsche under there! I'd love to show ya, but I just tucked her in.",0
"Uhh, well I've got an audition down the street and I spilled sauce all over the front of my shirt.  You got an extra one? Yeah, sure. Umm .. here. Great.  You got anything that's not Yeah, I don't think so Joe.",0
"Oh you've got to be kidding me. What? As a wedding gift to you, the hotel would like to give you the honeymoon suite. No!! You have been screwing us all day!",0
"Hey I am sorry, we donÕt have your sheep.",1
"Mr. and Mrs. Wolowitz? As far as I can tell, your bag arrived in Los Angeles. So, where is it? I don't know, perhaps somebody took it off the carousel by mistake?",0
"Excuse me, Dr. Cooper. I'm Kathy O'Brien. I just finished reading your paper reconciling the black hole information paradox with your theory of string-network condensates, and it just took my breath away. Maybe when I publish it, I'll include an inhaler.",1
"Happy now? I'm moving the dirty sock. Thank you. Raj, keep an eye out for the other one. Hey, guys, this is my friend Zack. Hey. Hello. Whoa! Is that the laser? It's bitchin'. Yes. In 1917, when Albert Einstein established the theoretic foundation for the laser in his paper <i>""Zur Quantentheorie der</i> <i>Strahlung,""</i> his fondest hope was that the resultant device be bitchin'.",1
Honey you alright? I'll be fine Is this about Arnie? No Blanche she is upset because they keep changing the taste of coke.,1
"Oh, I mean she's gonna be at the wedding waiting for him and people will be whispering, ""Oh that poor girl."" Then she'll have to come back here and live all alone. Oh my God! What?",0
Ok it was just me and her at the back of the train and I sat at the door so she had to pass by me if she like to switch cars. She was totally at my mercy. Were you so late because you were burying this woman?,1
"Well, what makes me the weakest member? Your trusting nature coupled with your teeny-tiny body. You wouldn't last a minute on the Serengeti. Okay, Amy, you're being silly. I'm not concerned about who hangs out with who. And I certainly don't have a problem with Leonard's new girlfriend who wears way too much makeup. Ooh, these are cute. Of course if I buy them, I'll have to rent my womb out to a gay couple.",1
"All right! Ross, do you think it's easy for me to see you with somebody else? Y'know, hey! You're the one who ended it, remember? Yeah, because I was You still love me?",0
"Ross, can I talk to you for a minute? Yes, please!  So, what's going on? Uh, well... Joey and I broke up. Oh my God, wh-what happened?",0
"This will interest you. And, Penny, feel free to paint your nails. What do you got? I believe Alex may have unearthed the grade school science project that could be my ticket to the Nobel Prize. Behold. ""Magnets: What Do They Stick To?"" If the answer is ""metal,"" it's not exactly groundbreaking. The original title was ""A Rederivation of Maxwell's Equations Regarding Electromagnetism"""" I dumbed it down because some of the more religious people in town were starting to say I was a witch.",0
